"filename", "language", "Go", "Markdown", "comment", "blank", "total"
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\podtopologyspread\scoring_test.go", "Go", 1267, 0, 52, 20, 1339
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\queuesort\priority_sort.go", "Go", 21, 0, 22, 9, 52
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\queuesort\priority_sort_test.go", "Go", 70, 0, 15, 5, 90
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\registry.go", "Go", 56, 0, 18, 5, 79
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\selectorspread\selector_spread.go", "Go", 163, 0, 43, 29, 235
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\selectorspread\selector_spread_perf_test.go", "Go", 81, 0, 15, 7, 103
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\selectorspread\selector_spread_test.go", "Go", 698, 0, 33, 30, 761
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\tainttoleration\taint_toleration.go", "Go", 114, 0, 36, 27, 177
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\tainttoleration\taint_toleration_test.go", "Go", 312, 0, 21, 11, 344
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\testing\testing.go", "Go", 54, 0, 21, 6, 81
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\volumebinding\assume_cache.go", "Go", 329, 0, 53, 75, 457
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\volumebinding\assume_cache_test.go", "Go", 353, 0, 51, 58, 462
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\volumebinding\binder.go", "Go", 715, 0, 219, 135, 1069
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\volumebinding\binder_test.go", "Go", 1981, 0, 151, 189, 2321
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\volumebinding\fake_binder.go", "Go", 34, 0, 24, 11, 69
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\volumebinding\metrics\metrics.go", "Go", 30, 0, 20, 6, 56
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\volumebinding\scorer.go", "Go", 28, 0, 19, 8, 55
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\volumebinding\scorer_test.go", "Go", 290, 0, 15, 7, 312
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\volumebinding\test_utils.go", "Go", 166, 0, 15, 26, 207
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\volumebinding\volume_binding.go", "Go", 280, 0, 88, 35, 403
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\volumebinding\volume_binding_test.go", "Go", 664, 0, 17, 19, 700
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\volumerestrictions\volume_restrictions.go", "Go", 136, 0, 51, 29, 216
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\volumerestrictions\volume_restrictions_test.go", "Go", 292, 0, 17, 22, 331
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\volumezone\volume_zone.go", "Go", 136, 0, 50, 21, 207
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\volumezone\volume_zone_test.go", "Go", 404, 0, 15, 21, 440
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\preemption\preemption.go", "Go", 406, 0, 136, 50, 592
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\preemption\preemption_test.go", "Go", 299, 0, 17, 18, 334
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\runtime\framework.go", "Go", 1001, 0, 194, 141, 1336
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\runtime\framework_test.go", "Go", 2405, 0, 50, 174, 2629
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\runtime\metrics_recorder.go", "Go", 63, 0, 28, 11, 102
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\runtime\registry.go", "Go", 59, 0, 29, 13, 101
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\runtime\registry_test.go", "Go", 225, 0, 20, 25, 270
